customer_id,disp.sunshine,disp.keebler,disp.nabisco,disp.private,feat.sunshine,feat.keebler,feat.nabisco,feat.private,price.sunshine,price.keebler,price.nabisco,price.private,choice.sunshine,choice.keebler,choice.nabisco,choice.private
1,0,0,0,0,0,0,0,0,98,88,120,71,0,0,1,0
1,0,0,0,0,0,0,0,0,99,109,99,71,0,0,1,0
1,1,0,0,0,0,0,0,0,49,109,109,78,1,0,0,0
1,0,0,0,0,0,0,0,0,103,109,89,78,0,0,1,0
1,0,0,0,0,0,0,0,0,109,109,119,64,0,0,1,0
1,0,0,0,0,0,0,0,0,89,109,119,84,0,0,1,0
1,0,0,1,0,0,0,0,0,109,109,129,78,1,0,0,0
1,0,0,1,0,0,0,0,0,109,119,129,78,0,0,1,0
1,0,0,1,0,0,0,0,0,109,121,109,78,0,0,1,0
1,1,0,1,0,0,0,0,0,79,121,109,78,0,0,1,0
1,0,0,1,0,0,0,0,0,109,113,109,96,0,0,1,0
1,0,0,0,0,0,0,0,0,109,121,99,86,0,0,1,0
1,1,0,0,0,0,0,0,0,89,121,99,86,0,0,1,0
1,0,1,1,0,0,0,0,0,109,109,129,96,0,0,1,0
1,0,0,0,0,0,0,0,0,109,109,129,79,0,0,1,0
1,0,0,1,0,0,0,0,0,129,104,129,96,0,0,1,0
2,0,0,0,0,0,0,0,0,79,99,69,69,0,0,1,0
2,1,0,1,0,1,0,0,0,69,105,89,65,1,0,0,0
2,1,0,0,0,1,0,0,0,79,125,106,69,1,0,0,0
2,1,0,0,0,0,0,0,0,79,125,106,69,1,0,0,0
2,0,0,1,0,0,0,0,0,79,125,99,69,1,0,0,0
2,0,0,0,1,0,0,1,1,97,115,109,57,1,0,0,0
2,1,0,1,0,0,0,0,0,79,135,109,65,1,0,0,0
2,0,1,0,0,0,0,0,0,97,99,125,60,0,1,0,0
2,0,0,0,0,0,0,0,0,109,135,129,73,1,0,0,0
2,0,0,0,0,0,0,0,0,109,135,115,76,1,0,0,0
2,0,1,1,0,0,0,0,0,105,125,99,59,0,0,1,0
2,0,1,0,0,0,1,0,0,105,99,129,59,0,1,0,0
2,0,0,0,0,0,0,0,0,89,135,104,89,1,0,0,0
2,0,0,1,0,0,0,0,0,105,129,99,59,0,0,1,0
2,0,0,1,0,0,0,0,0,105,129,99,65,0,0,1,0
2,0,0,0,0,0,0,0,0,105,129,129,65,1,0,0,0
3,0,0,0,0,0,0,0,0,68,88,88,59,0,0,1,0
3,0,0,0,0,0,0,0,0,99,109,99,79,0,0,0,1
3,0,0,0,0,0,0,0,0,103,109,89,55,0,0,0,1
3,1,0,0,1,0,0,0,1,89,104,99,50,0,0,0,1
3,0,0,0,0,0,0,0,0,98,109,89,69,0,0,0,1
3,0,0,0,0,0,0,0,0,109,109,119,89,0,0,0,1
3,0,0,0,0,0,0,0,0,97,115,99,61,0,0,1,0
3,0,0,1,0,0,0,0,0,97,125,109,61,0,0,1,0
3,0,0,0,0,0,1,0,0,97,99,125,61,0,0,1,0
3,0,0,0,0,0,0,0,0,79,121,109,89,0,0,0,1
3,0,1,1,0,0,0,0,0,103,109,109,61,0,0,1,0
3,0,0,0,0,0,0,0,0,109,129,125,61,0,0,1,0
3,0,0,0,0,0,0,0,0,105,129,125,61,0,0,1,0
3,0,0,0,1,0,0,0,1,93,119,98,68,0,0,0,1
4,0,0,0,0,0,0,0,0,98,99,109,55,0,0,0,1
4,0,0,0,0,0,0,0,0,99,109,95,55,0,0,0,1
4,0,0,0,0,0,0,0,0,99,109,99,55,0,0,0,1
4,0,0,1,0,0,0,0,0,89,99,113,69,0,0,0,1
4,0,0,0,0,0,0,0,0,103,109,89,55,0,0,0,1
4,0,0,0,0,0,0,0,0,79,105,109,55,0,0,0,1
4,0,0,0,0,0,0,0,0,103,109,119,55,0,0,0,1
4,0,0,0,0,0,0,0,0,99,119,99,55,0,0,0,1
4,0,0,0,0,0,0,0,0,109,119,99,55,0,0,0,1
4,0,0,0,0,0,0,0,0,89,109,119,55,0,0,0,1
4,0,0,0,0,0,0,0,0,98,119,99,55,0,0,0,1
4,0,0,0,0,0,0,0,0,98,119,99,55,0,0,0,1
4,0,0,1,0,0,0,0,0,98,121,119,55,0,0,0,1
4,0,0,0,0,0,0,0,0,98,121,119,55,0,0,0,1
4,0,0,0,0,0,0,0,0,98,121,119,55,0,0,0,1
4,0,0,1,0,0,0,0,0,98,119,129,55,0,0,0,1
4,0,0,0,0,0,0,0,0,98,119,129,55,0,0,0,1
4,0,0,0,0,0,0,0,0,98,121,109,55,0,0,0,1
4,0,0,0,0,0,0,0,0,79,121,109,55,0,0,0,1
4,0,0,1,0,0,0,0,0,109,109,109,59,0,0,0,1
4,0,0,1,0,0,0,0,0,109,121,129,59,0,0,0,1
4,0,0,0,0,0,0,0,0,109,121,109,59,0,0,0,1
4,0,0,1,0,0,0,0,0,89,121,99,59,0,0,0,1
4,0,1,1,0,0,0,0,0,109,109,129,59,0,0,0,1
4,0,0,0,0,0,0,0,0,119,129,129,89,0,0,0,1
4,0,0,1,0,0,0,0,0,95,125,99,59,0,0,0,1
4,0,0,1,0,0,0,0,0,95,119,129,59,0,0,0,1
4,0,0,0,0,0,0,0,0,95,104,99,59,0,0,0,1
4,0,0,0,0,0,0,0,0,95,104,123,59,0,0,0,1
5,0,0,0,0,0,0,0,0,69,89,106,68,0,1,0,0
5,1,0,0,0,0,0,0,0,89,108,89,68,0,0,1,0
5,0,0,0,0,0,0,0,0,98,109,89,78,0,0,1,0
5,0,0,0,0,0,0,0,0,99,109,119,71,0,1,0,0
5,0,0,0,0,0,0,0,0,89,109,119,84,0,0,1,0
5,0,0,0,0,0,1,0,0,109,99,126,68,0,1,0,0
5,0,0,1,0,0,0,0,0,88,125,109,65,0,1,0,0
5,0,1,0,0,0,0,0,0,97,99,125,61,0,1,0,0
5,0,0,0,0,0,1,1,0,104,109,109,68,0,1,0,0
5,0,0,0,0,0,0,0,0,97,125,125,65,0,1,0,0
5,0,0,0,0,0,0,0,0,109,121,109,84,0,0,1,0
5,0,0,1,1,0,0,0,0,105,125,129,65,0,1,0,0
5,0,0,1,0,0,0,0,0,105,125,99,61,0,1,0,0
5,0,0,0,0,0,0,1,0,105,99,99,65,0,1,0,0
6,0,0,0,0,0,0,0,0,69,88,89,67,0,0,0,1
6,1,0,0,0,0,0,0,0,85,98,89,68,0,0,1,0
6,0,0,1,0,0,0,0,0,99,109,99,55,0,0,0,1
6,0,0,0,0,0,0,0,0,103,109,89,55,0,0,0,1
6,0,0,0,0,0,0,0,0,103,109,77,78,0,0,1,0
6,0,0,0,0,0,0,0,0,79,105,109,55,0,0,0,1
